words,count_up,count_down,total,polarity_score
채권시장/NNG;금리/NNG;인상/NNG,16.0,10.0,26.0,2.215693958151831
의료보험/NNG,13.0,13.0,26.0,1.3848087238448945
집중도/NNG,23.0,8.0,31.0,3.9813250810540715
주어진/VV,14.0,13.0,27.0,1.4913324718329632
재정위기/NNG;우려/NNG,26.0,12.0,38.0,3.0004189016639384
양당/NNG,35.0,31.0,66.0,1.5634937204700419
흔하/VA,10.0,9.0,19.0,1.5386763598276605
자본/NNG;유출/NNG;우려/NNG,10.0,9.0,19.0,1.5386763598276605
배당수익률/NNG,86.0,84.0,170.0,1.4177803601269157
상호기금/NNG,12.0,7.0,19.0,2.3739578123055334
정식/NNG,18.0,7.0,25.0,3.5609367184583003
고정자산/NNG,85.0,76.0,161.0,1.5487992306160006
수입/NNG;감소/NNG,22.0,18.0,40.0,1.6925439958104267
채권시장/NNG;우려/NNG,12.0,5.0,17.0,3.3235409372277465
개방/NNG,93.0,98.0,191.0,1.3141552175262772
맹점/NNG,35.0,16.0,51.0,3.0292690834107066
영역/NNG,399.0,425.0,824.0,1.3000910136802657
정책위/NNG,23.0,23.0,46.0,1.3848087238448945
채산성/NNG,18.0,16.0,34.0,1.5579098143255063
겹친/VV,10.0,9.0,19.0,1.5386763598276605
고용자/NNG,18.0,19.0,37.0,1.3119240541688475
점유/NNG,12.0,11.0,23.0,1.5107004260126122
글로벌/NNG;경기/NNG;개선/NNG,22.0,23.0,45.0,1.3245996488951166
변액/NNG,23.0,14.0,37.0,2.2750429034594695
리더십/NNG,20.0,21.0,41.0,1.318865451280852
자산/NNG;성장/NNG,18.0,9.0,27.0,2.769617447689789
택하/VV,10.0,9.0,19.0,1.5386763598276605
수익증권/NNG,40.0,22.0,62.0,2.5178340433543536
정부규제/NNG,13.0,13.0,26.0,1.3848087238448945
파견/NNG,11.0,11.0,22.0,1.3848087238448947
자본이익/NNG,11.0,11.0,22.0,1.3848087238448947
역내외/NNG,13.0,4.0,17.0,4.500628352495907
지급보증/NNG,46.0,46.0,92.0,1.3848087238448945
유가상승/NNG,63.0,52.0,115.0,1.6777490308120837
깊이/NNG,22.0,16.0,38.0,1.90411199528673
내수/NNG;부진/NNG,34.0,34.0,68.0,1.3848087238448945
환매/NNG,165.0,141.0,306.0,1.620520847052536
rqfii/NNG,23.0,6.0,29.0,5.3084334414054295
천호/NNG,33.0,30.0,63.0,1.5232895962293842
진화/NNG,25.0,24.0,49.0,1.4425090873384316
메디케어/NNG,17.0,10.0,27.0,2.3541748305363206
재고자산/NNG,9.0,8.0,17.0,1.5579098143255063
고용증감/NNG,87.0,88.0,175.0,1.3690722610739299
노호/NNG,152.0,74.0,226.0,2.844471973303026
세심/NNG,12.0,12.0,24.0,1.3848087238448945
남북경협/NNG,14.0,12.0,26.0,1.6156101778190435
솔직히/MAG,16.0,11.0,27.0,2.014267234683483
몰락/NNG,15.0,11.0,26.0,1.8883755325157654
수산금융채권/NNG,11.0,10.0,21.0,1.523289596229384
기모/NNG,42.0,24.0,66.0,2.4234152667285658
독립/NNG,105.0,88.0,193.0,1.6523285909512946
북클로징/NNG,83.0,75.0,158.0,1.5325216543883498
손실/NNG;위험/NNG,9.0,9.0,18.0,1.3848087238448945
방정식/NNG,15.0,8.0,23.0,2.596516357209177
화폐발행액/NNG,15.0,4.0,19.0,5.193032714418354
간헐/NNG,11.0,11.0,22.0,1.3848087238448947
후순위/NNG,70.0,65.0,135.0,1.4913324718329632
자치/NNG,20.0,15.0,35.0,1.846411631793193
대칭/NNG,23.0,19.0,42.0,1.6763474025490828
고용/NNG;여건/NNG;개선/NNG,13.0,8.0,21.0,2.2503141762479535
가이드/NNG,11.0,8.0,19.0,1.90411199528673
과도/NNG;스프레드/NNG;축소/NNG,14.0,4.0,18.0,4.846830533457131
신용카드사/NNG,24.0,23.0,47.0,1.4450177987946724
거둘/VV,26.0,17.0,43.0,2.117942754115721
기민/NNG,10.0,9.0,19.0,1.5386763598276605
상술/NNG,11.0,8.0,19.0,1.90411199528673
이동평균/NNG,178.0,148.0,326.0,1.6655131948945352
pf/NNG;위험/NNG,10.0,10.0,20.0,1.3848087238448943
농촌/NNG,38.0,14.0,52.0,3.7587665361504277
소액/NNG,41.0,39.0,80.0,1.4558245558369405
매직/NNG,32.0,23.0,55.0,1.9266903983928967
흥분/NNG,10.0,10.0,20.0,1.3848087238448943
간주/NNG,50.0,47.0,97.0,1.47320077004776
시니어론/NNG,98.0,62.0,160.0,2.1888912086580588
통화정책/NNG;경계/NNG,20.0,14.0,34.0,1.9782981769212777
진폭/NNG,21.0,10.0,31.0,2.9080983200742785
자사주/NNG,79.0,80.0,159.0,1.3674986147968333
근로시간/NNG,59.0,41.0,100.0,1.992773529435336
태세/NNG,9.0,8.0,17.0,1.5579098143255063
장기영역/NNG,133.0,117.0,250.0,1.5741842758236835
근원/NNG;물가/NNG;상승/NNG,14.0,11.0,25.0,1.7624838303480475
지루/NNG,23.0,13.0,36.0,2.4500462037255826
소비/NNG;증가/NNG,26.0,26.0,52.0,1.3848087238448945
입성/NNG,13.0,9.0,22.0,2.0002792677759587
총고정자본형성/NNG,12.0,8.0,20.0,2.0772130857673416
과반수/NNG,22.0,14.0,36.0,2.176127994613406
