words,count_up,count_down,total,polarity_score
전광판/NNG,7.0,35.0,42.0,0.27696174476897883
제언/NNG,9.0,28.0,37.0,0.44511708980728754
평면/NNG,6.0,21.0,27.0,0.3956596353842555
오너/NNG,5.0,19.0,24.0,0.3644233483802354
출시/NNG,199.0,435.0,634.0,0.6335101978049058
분양가상한제/NNG,8.0,29.0,37.0,0.38201619968135025
석사/NNG,6.0,11.0,17.0,0.7553502130063061
풀이/NNG,126.0,308.0,434.0,0.5665126597547295
하한선/NNG,5.0,13.0,18.0,0.532618739940344
동참/NNG,50.0,98.0,148.0,0.7065350631861705
금리/NNG;인하/NNG;그치/VV,10.0,20.0,30.0,0.6924043619224471
다우존스산업평균지수/NNG,180.0,365.0,545.0,0.6829193706632357
업황/NNG;개선/NNG,10.0,38.0,48.0,0.3644233483802354
고스란히/MAG,12.0,29.0,41.0,0.5730242995220253
수요/NNG;둔화/NNG;우려/NNG,6.0,17.0,23.0,0.488756020180551
궁성/NNG,2.0,20.0,22.0,0.13848087238448945
신축/NNG,21.0,68.0,89.0,0.42766151765798216
세이렌/NNG,1.0,24.0,25.0,0.05770036349353728
먹구름/NNG,6.0,44.0,50.0,0.18883755325157653
져야/VV,2.0,16.0,18.0,0.1731010904806118
편성/NNG,67.0,161.0,228.0,0.5762868602335897
용기/NNG,4.0,15.0,19.0,0.3692823263586386
자연실업률/NNG,14.0,34.0,48.0,0.5702153568773095
높/VA;불확실성/NNG,10.0,22.0,32.0,0.6294585108385884
회견/NNG,5.0,17.0,22.0,0.4072966834837925
오퍼레이션트위스트/NNG,4.0,38.0,42.0,0.14576933935209416
에이스/NNG,34.0,137.0,171.0,0.34367515774252855
무역전쟁/NNG,59.0,125.0,184.0,0.6536297176547902
경제력/NNG,8.0,25.0,33.0,0.44313879163036624
민심/NNG,6.0,15.0,21.0,0.5539234895379578
기대/NNG;살/VV,7.0,15.0,22.0,0.6462440711276174
세부섹터/NNG,7.0,14.0,21.0,0.6924043619224471
종이/NNG,22.0,71.0,93.0,0.42909566090968565
글로벌/NNG;경기/NNG;침체/NNG,11.0,23.0,34.0,0.6622998244475583
업무보고/NNG,8.0,22.0,30.0,0.5035668086708708
글로벌/NNG;유동성/NNG;증가/NNG,6.0,15.0,21.0,0.5539234895379578
고환/NNG,4.0,15.0,19.0,0.3692823263586386
하이퍼인플레이션/NNG,7.0,15.0,22.0,0.6462440711276174
불명확/NNG,3.0,15.0,18.0,0.2769617447689789
악영향/NNG,32.0,81.0,113.0,0.5470849279387238
부채/NNG;늘/VV,6.0,16.0,22.0,0.5193032714418354
과소/NNG,18.0,34.0,52.0,0.7331340302708266
조위/NNG,7.0,14.0,21.0,0.6924043619224471
절감/NNG,79.0,170.0,249.0,0.6435287599043921
시총상위/NNG,21.0,56.0,77.0,0.5193032714418354
제조/NNG,53.0,137.0,190.0,0.5357289223633533
만난/VV,4.0,17.0,21.0,0.325837346787034
열린다/VV,6.0,13.0,19.0,0.6391424879284128
북문/NNG,13.0,26.0,39.0,0.6924043619224473
너스/NNG,25.0,82.0,107.0,0.42219778166002875
비용/NNG;감소/NNG,8.0,19.0,27.0,0.5830773574083766
회계기준/NNG,15.0,135.0,150.0,0.15386763598276607
고용보고서/NNG,22.0,60.0,82.0,0.507763198743128
임차료/NNG,5.0,12.0,17.0,0.5770036349353728
세계/NNG;경제/NNG;불확실성/NNG,6.0,12.0,18.0,0.6924043619224473
실버타운/NNG,8.0,26.0,34.0,0.42609499195227524
전쟁/NNG,97.0,233.0,330.0,0.5765083528452994
처분/NNG,53.0,128.0,181.0,0.5733973622170266
집중투자/NNG,8.0,17.0,25.0,0.651674693574068
시화/NNG,10.0,33.0,43.0,0.4196390072257256
코스피/NNG,961.0,1880.0,2841.0,0.7078729700079487
부결/NNG,32.0,61.0,93.0,0.7264570354596168
고정이하여신비율/NNG,20.0,46.0,66.0,0.6020907494977802
목표액/NNG,25.0,50.0,75.0,0.6924043619224471
묶인/VV,5.0,16.0,21.0,0.4327527262015295
경기민감물가/NNG,12.0,40.0,52.0,0.4154426171534683
공간/NNG,48.0,118.0,166.0,0.56331202325894
초고령사회/NNG,3.0,14.0,17.0,0.29674472653819167
은행동맹/NNG,5.0,13.0,18.0,0.532618739940344
최고/NNG,891.0,1613.0,2504.0,0.7649501382181035
추첨/NNG,18.0,47.0,65.0,0.5303522772171937
신용평가/NNG,129.0,261.0,390.0,0.6844456910957524
맞물린/VV,8.0,21.0,29.0,0.5275461805123408
gdp/NNG;상승/NNG,6.0,11.0,17.0,0.7553502130063061
분산투자/NNG,16.0,35.0,51.0,0.6330554166148089
놓치/VV,16.0,33.0,49.0,0.671422411561161
금/NNG;가격/NNG;상승/NNG,5.0,13.0,18.0,0.532618739940344
운용사/NNG,48.0,128.0,176.0,0.5193032714418354
커버드본드/NNG,25.0,89.0,114.0,0.3889912145631726
아베노믹스/NNG,33.0,71.0,104.0,0.6436434913645285
대외변수/NNG,30.0,62.0,92.0,0.6700687373443037
이자/NNG;부담/NNG,12.0,40.0,52.0,0.4154426171534683
창구/NNG,46.0,85.0,131.0,0.7494258976101782
코인/NNG,56.0,167.0,223.0,0.4643669972174496
부동산/NNG;pf/NNG;우려/NNG,5.0,15.0,20.0,0.4616029079482982
소상공인/NNG,267.0,780.0,1047.0,0.47403067854690617
인과관계/NNG,9.0,22.0,31.0,0.5665126597547296
금융경제/NNG,49.0,99.0,148.0,0.6854103784686851
금융정책/NNG,28.0,98.0,126.0,0.3956596353842555
응찰금액/NNG,10.0,30.0,40.0,0.4616029079482982
가족/NNG,21.0,65.0,86.0,0.44739974154988904
대준/NNG,7.0,16.0,23.0,0.6058538166821413
종속회사/NNG,5.0,16.0,21.0,0.4327527262015295
인하/NNG;금리/NNG;인하/NNG,3.0,16.0,19.0,0.2596516357209177
취급/NNG,121.0,231.0,352.0,0.7253759982044686
아웃/NNG,12.0,35.0,47.0,0.4747915624611066
박차/NNG,9.0,18.0,27.0,0.6924043619224473
역세권/NNG,13.0,41.0,54.0,0.43908569292642996
놓인/VV,8.0,22.0,30.0,0.5035668086708708
주된/VV,27.0,63.0,90.0,0.5934894530763833
상담/NNG,17.0,54.0,71.0,0.43595830195117047
소집/NNG,7.0,19.0,26.0,0.5101926877323295
노동력/NNG,21.0,50.0,71.0,0.5816196640148557
우대/NNG,79.0,164.0,243.0,0.6670724950228455
피하/VV,101.0,195.0,296.0,0.7172599031196633
희생/NNG,10.0,26.0,36.0,0.532618739940344
실손/NNG,6.0,14.0,20.0,0.5934894530763833
즐기/VV,12.0,41.0,53.0,0.40530987039362765
신설/NNG,96.0,196.0,292.0,0.6782736606587237
당분간/MAG;완화/NNG,13.0,24.0,37.0,0.7501047254159846
출석/NNG,14.0,47.0,61.0,0.4124962156133728
동일/NNG,335.0,756.0,1091.0,0.6136387863598408
관측/NNG,101.0,288.0,389.0,0.4856447260706053
안착/NNG,66.0,122.0,188.0,0.7491588178177299
구할/VV,5.0,15.0,20.0,0.4616029079482982
