,범례명,기준금리
384,2015-01-19,2.0
385,2015-01-20,2.0
386,2015-01-21,2.0
387,2015-01-22,2.0
388,2015-01-23,2.0
389,2015-01-24,2.0
390,2015-01-25,2.0
391,2015-01-26,2.0
392,2015-01-27,2.0
393,2015-01-28,2.0
394,2015-01-29,2.0
395,2015-01-30,2.0
396,2015-01-31,2.0
397,2015-02-01,2.0
398,2015-02-02,2.0
399,2015-02-03,2.0
400,2015-02-04,2.0
401,2015-02-05,2.0
402,2015-02-06,2.0
403,2015-02-07,2.0
404,2015-02-08,2.0
405,2015-02-09,2.0
406,2015-02-10,2.0
407,2015-02-11,2.0
408,2015-02-12,2.0
409,2015-02-13,2.0
410,2015-02-14,2.0
411,2015-02-15,2.0
412,2015-02-16,2.0
413,2015-02-17,2.0
414,2015-02-18,2.0
415,2015-02-19,2.0
416,2015-02-20,2.0
417,2015-02-21,2.0
418,2015-02-22,2.0
419,2015-02-23,2.0
420,2015-02-24,2.0
421,2015-02-25,2.0
422,2015-02-26,2.0
423,2015-02-27,2.0
424,2015-02-28,2.0
425,2015-03-01,2.0
426,2015-03-02,2.0
427,2015-03-03,2.0
428,2015-03-04,2.0
429,2015-03-05,2.0
430,2015-03-06,2.0
431,2015-03-07,2.0
432,2015-03-08,2.0
433,2015-03-09,2.0
434,2015-03-10,2.0
435,2015-03-11,2.0
436,2015-03-12,1.75
437,2015-03-13,1.75
438,2015-03-14,1.75
439,2015-03-15,1.75
440,2015-03-16,1.75
441,2015-03-17,1.75
442,2015-03-18,1.75
443,2015-03-19,1.75
444,2015-03-20,1.75
445,2015-03-21,1.75
446,2015-03-22,1.75
447,2015-03-23,1.75
448,2015-03-24,1.75
449,2015-03-25,1.75
450,2015-03-26,1.75
451,2015-03-27,1.75
452,2015-03-28,1.75
453,2015-03-29,1.75
454,2015-03-30,1.75
455,2015-03-31,1.75
456,2015-04-01,1.75
457,2015-04-02,1.75
458,2015-04-03,1.75
459,2015-04-04,1.75
460,2015-04-05,1.75
461,2015-04-06,1.75
462,2015-04-07,1.75
463,2015-04-08,1.75
464,2015-04-09,1.75
465,2015-04-10,1.75
466,2015-04-11,1.75
467,2015-04-12,1.75
468,2015-04-13,1.75
469,2015-04-14,1.75
470,2015-04-15,1.75
471,2015-04-16,1.75
472,2015-04-17,1.75
473,2015-04-18,1.75
474,2015-04-19,1.75
475,2015-04-20,1.75
476,2015-04-21,1.75
477,2015-04-22,1.75
478,2015-04-23,1.75
479,2015-04-24,1.75
480,2015-04-25,1.75
481,2015-04-26,1.75
482,2015-04-27,1.75
483,2015-04-28,1.75
484,2015-04-29,1.75
485,2015-04-30,1.75
486,2015-05-01,1.75
487,2015-05-02,1.75
488,2015-05-03,1.75
489,2015-05-04,1.75
490,2015-05-05,1.75
491,2015-05-06,1.75
492,2015-05-07,1.75
493,2015-05-08,1.75
494,2015-05-09,1.75
495,2015-05-10,1.75
496,2015-05-11,1.75
497,2015-05-12,1.75
498,2015-05-13,1.75
499,2015-05-14,1.75
500,2015-05-15,1.75
501,2015-05-16,1.75
502,2015-05-17,1.75
503,2015-05-18,1.75
504,2015-05-19,1.75
505,2015-05-20,1.75
506,2015-05-21,1.75
507,2015-05-22,1.75
508,2015-05-23,1.75
509,2015-05-24,1.75
510,2015-05-25,1.75
511,2015-05-26,1.75
512,2015-05-27,1.75
513,2015-05-28,1.75
514,2015-05-29,1.75
515,2015-05-30,1.75
516,2015-05-31,1.75
517,2015-06-01,1.75
518,2015-06-02,1.75
519,2015-06-03,1.75
520,2015-06-04,1.75
521,2015-06-05,1.75
522,2015-06-06,1.75
523,2015-06-07,1.75
524,2015-06-08,1.75
525,2015-06-09,1.75
526,2015-06-10,1.75
527,2015-06-11,1.5
528,2015-06-12,1.5
529,2015-06-13,1.5
530,2015-06-14,1.5
531,2015-06-15,1.5
532,2015-06-16,1.5
